"manuscript_item","generated_file","simulation_family","source_results_file","generating_script","description"
"Main Figure 2","results_final_main/figures/main/main-figure-0-bias.pdf","main","results_final_main/summary/main_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","Boxplots of estimation bias under K=10 and n=40"
"Main Figure 3","results_final_main/figures/main/main-figure-1-mse.pdf","main","results_final_main/summary/main_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","Mean squared error under K=10"
"Main Figure 4","results_final_main/figures/main/main-figure-2-power-model1.pdf","main","results_final_main/summary/main_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","Power for simulation model 1"
"Main Figure 4","results_final_main/figures/main/main-figure-3-power-model2.pdf","main","results_final_main/summary/main_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","Power for simulation model 2"
"Supplementary Figure S1","results_final_main/figures/supplement/main-figure-0-bias-all.pdf","main","results_final_main/summary/main_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","Bias boxplots under K=5"
"Supplementary Figure S2","results_final_main/figures/supplement/main-figure-0-bias-all.pdf","main","results_final_main/summary/main_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","Bias boxplots under K=10"
"Supplementary Figure S3","results_final_main/figures/supplement/main-figure-0-bias-all.pdf","main","results_final_main/summary/main_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","Bias boxplots under K=30"
"Supplementary Figure S4","results_final_main/figures/supplement/figure-1-1to1-mse.pdf","main","results_final_main/summary/main_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","MSE under equal randomization"
"Supplementary Figure S5","results_final_main/figures/supplement/figure-2-controlAD-model-identify-mse.pdf","main","results_final_main/summary/main_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","MSE under unequal randomization and correct specification"
"Supplementary Figure S6","results_final_main/figures/supplement/figure-3-controlAD-model-misidentify-mse.pdf","main","results_final_main/summary/main_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","MSE under unequal randomization and misspecification"
"Supplementary Figure S7","results_final_main/figures/supplement/figure-1-1to1-power-model1.pdf","main","results_final_main/summary/main_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","Power under equal randomization for simulation model 1"
"Supplementary Figure S8","results_final_main/figures/supplement/figure-1-1to1-power-model2.pdf","main","results_final_main/summary/main_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","Power under equal randomization for simulation model 2"
"Supplementary Figure S9","results_final_main/figures/supplement/figure-2-controlAD-model-identify-power-model1.pdf","main","results_final_main/summary/main_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","Power under unequal randomization and correct specification for simulation model 1"
"Supplementary Figure S10","results_final_main/figures/supplement/figure-2-controlAD-model-identify-power-model2.pdf","main","results_final_main/summary/main_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","Power under unequal randomization and correct specification for simulation model 2"
"Supplementary Figure S11","results_final_main/figures/supplement/figure-3-controlAD-model-misidentify-power-model1.pdf","main","results_final_main/summary/main_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","Power under unequal randomization and misspecification for simulation model 1"
"Supplementary Figure S12","results_final_main/figures/supplement/figure-3-controlAD-model-misidentify-power-model2.pdf","main","results_final_main/summary/main_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","Power under unequal randomization and misspecification for simulation model 2"
"Supplementary Figure S13","results_final_multicov/figures/supplement/robustness_multicov/robustness_multicov_bias.pdf","robustness_multicov","results_final_multicov/summary/robustness_multicov_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","Bias in the multi-covariate scenario"
"Supplementary Figure S14","results_final_multicov/figures/supplement/robustness_multicov/robustness_multicov_mse.pdf","robustness_multicov","results_final_multicov/summary/robustness_multicov_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","MSE in the multi-covariate scenario"
"Supplementary Figure S15","results_final_multicov/figures/supplement/robustness_multicov/robustness_multicov_power.pdf","robustness_multicov","results_final_multicov/summary/robustness_multicov_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","Power in the multi-covariate scenario"
"Supplementary Figure S16","results_final_nonlinear/figures/supplement/robustness_nonlinear/robustness_nonlinear_bias.pdf","robustness_nonlinear","results_final_nonlinear/summary/robustness_nonlinear_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","Bias in the nonlinear heterogeneity scenario"
"Supplementary Figure S17","results_final_nonlinear/figures/supplement/robustness_nonlinear/robustness_nonlinear_mse.pdf","robustness_nonlinear","results_final_nonlinear/summary/robustness_nonlinear_results_nsim10000.csv","01_simulation/run_plot_calibration.R","Main MSE component in the nonlinear heterogeneity scenario"
"Supplementary Figure S17","results_final_nonlinear/figures/supplement/robustness_nonlinear/robustness_nonlinear_mse_3to1_only.pdf","robustness_nonlinear","results_final_nonlinear/summary/robustness_nonlinear_results_nsim10000.csv","01_simulation/run_plot_calibration.R","Separated target-only 3:1 MSE component in the nonlinear heterogeneity scenario"
"Supplementary Figure S18","results_final_nonlinear/figures/supplement/robustness_nonlinear/robustness_nonlinear_power.pdf","robustness_nonlinear","results_final_nonlinear/summary/robustness_nonlinear_results_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","Power in the nonlinear heterogeneity scenario"
"Supplementary Figure S19","results_final_trunc/figures/supplement/ripd_truncation/ripd_truncation_model_specified.pdf","ripd_truncation","results_final_trunc/summary/ripd_truncation_summary_all_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","RIPD residual-variance truncation rates under correct specification"
"Supplementary Figure S20","results_final_trunc/figures/supplement/ripd_truncation/ripd_truncation_model_misspecified.pdf","ripd_truncation","results_final_trunc/summary/ripd_truncation_summary_all_nsim10000.csv","01_simulation/run_final_simulations.R; 01_simulation/R/plotting.R","RIPD residual-variance truncation rates under misspecification"
"Main Table 1","02_case study/meta-analysis-data.csv","case_study","02_case study/Sanguankeo et al_2015.csv","02_case study/rda_case-study.R","Reported outcomes and baseline covariates"
"Main Table 2","02_case study/case-study-meta-regression.csv","case_study","02_case study/Sanguankeo et al_2015.csv","02_case study/rda_case-study.R","Meta-regression excluding the target trial"
"Main Table 3","02_case study/rda_case_study.csv","case_study","02_case study/Sanguankeo et al_2015.csv","02_case study/rda_case-study.R","Virtual target-trial results"
