"scenario_id","replicate","estimator","formula_id","estimate","se","ci_low","ci_high","converged","diagnostics"
"main_1to1_K05_n020_normal",1,"target_only","misspecified",1.67356675926198,0.628421021278217,0.353303185107787,2.99383033341616,TRUE,""
"main_1to1_K05_n020_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K05_n020_normal",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_1to1_K05_n020_normal",1,"target_only","correct",2.36939248203392,0.520386590900902,1.26622219033941,3.47256277372842,TRUE,""
"main_1to1_K05_n020_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K05_n020_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K05_n020_normal",1,"target_only","misspecified",1.88004430569673,0.692246816811598,0.425687710970543,3.33440090042292,TRUE,""
"main_3to1_K05_n020_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K05_n020_normal",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K05_n020_normal",1,"target_only","correct",1.73145299318887,0.717105390129089,0.211257476554091,3.25164850982365,TRUE,""
"main_3to1_K05_n020_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K05_n020_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_4to0_K05_n020_normal",1,"target_only","misspecified",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K05_n020_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K05_n020_normal",1,"meta_regression","misspecified",2.5878658088349,0.708379715433458,1.19946707920659,3.97626453846321,TRUE,""
"main_4to0_K05_n020_normal",1,"target_only","correct",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K05_n020_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K05_n020_normal",1,"meta_regression","correct",1.95096986544112,0.68705733673804,0.604362230120554,3.29757750076169,TRUE,""
"main_1to1_K10_n020_normal",1,"target_only","misspecified",1.77651079426106,0.597889374128488,0.520391830528599,3.03262975799352,TRUE,""
"main_1to1_K10_n020_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K10_n020_normal",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_1to1_K10_n020_normal",1,"target_only","correct",1.95003871407104,0.591313040943558,0.696511065076158,3.20356636306593,TRUE,""
"main_1to1_K10_n020_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K10_n020_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K10_n020_normal",1,"target_only","misspecified",1.89169152936723,0.631839497482473,0.564246003211482,3.21913705552298,TRUE,""
"main_3to1_K10_n020_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K10_n020_normal",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K10_n020_normal",1,"target_only","correct",1.25438252256486,0.638080774123384,-0.0982882918304975,2.60705333696022,TRUE,""
"main_3to1_K10_n020_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K10_n020_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_4to0_K10_n020_normal",1,"target_only","misspecified",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
