"scenario_id","estimator","formula_id","n_replicates","n_converged","bias","mse","power","mean_estimate","mean_se","allocation","K","n","covariate_distribution"
"main_1to1_K05_n020_normal","target_only","misspecified",1,1,-0.326433240738025,0.106558660658729,1,1.67356675926198,0.628421021278217,"1to1",5,20,"normal"
"main_1to1_K05_n020_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",5,20,"normal"
"main_1to1_K05_n020_normal","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",5,20,"normal"
"main_1to1_K05_n020_normal","target_only","correct",1,1,0.369392482033915,0.136450805783177,1,2.36939248203392,0.520386590900902,"1to1",5,20,"normal"
"main_1to1_K05_n020_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"1to1",5,20,"normal"
"main_1to1_K05_n020_normal","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"1to1",5,20,"normal"
"main_3to1_K05_n020_normal","target_only","misspecified",1,1,-0.11995569430327,0.0143893685957795,1,1.88004430569673,0.692246816811598,"3to1",5,20,"normal"
"main_3to1_K05_n020_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",5,20,"normal"
"main_3to1_K05_n020_normal","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",5,20,"normal"
"main_3to1_K05_n020_normal","target_only","correct",1,1,-0.268547006811128,0.0721174948672162,1,1.73145299318887,0.717105390129089,"3to1",5,20,"normal"
"main_3to1_K05_n020_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"3to1",5,20,"normal"
"main_3to1_K05_n020_normal","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"3to1",5,20,"normal"
"main_4to0_K05_n020_normal","target_only","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",5,20,"normal"
"main_4to0_K05_n020_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",5,20,"normal"
"main_4to0_K05_n020_normal","meta_regression","misspecified",1,1,0.587865808834904,0.345586209197116,1,2.5878658088349,0.708379715433458,"4to0",5,20,"normal"
"main_4to0_K05_n020_normal","target_only","correct",1,0,NA,NA,NA,NA,NA,"4to0",5,20,"normal"
"main_4to0_K05_n020_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"4to0",5,20,"normal"
"main_4to0_K05_n020_normal","meta_regression","correct",1,1,-0.0490301345588786,0.00240395409486174,1,1.95096986544112,0.68705733673804,"4to0",5,20,"normal"
"main_1to1_K10_n020_normal","target_only","misspecified",1,1,-0.223489205738941,0.0499474250818229,1,1.77651079426106,0.597889374128488,"1to1",10,20,"normal"
"main_1to1_K10_n020_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",10,20,"normal"
"main_1to1_K10_n020_normal","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",10,20,"normal"
"main_1to1_K10_n020_normal","target_only","correct",1,1,-0.0499612859289584,0.00249613009167514,1,1.95003871407104,0.591313040943558,"1to1",10,20,"normal"
"main_1to1_K10_n020_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"1to1",10,20,"normal"
"main_1to1_K10_n020_normal","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"1to1",10,20,"normal"
