"relative_path","exists_in_second_run","identical","detail"
"raw/main_1to1_K05_n020_normal/params.rds",TRUE,TRUE,""
"raw/main_1to1_K05_n020_normal/results_correct.rds",TRUE,TRUE,""
"raw/main_1to1_K05_n020_normal/results_misspecified.rds",TRUE,TRUE,""
"raw/main_1to1_K05_n020_normal/summary.csv",TRUE,TRUE,""
"raw/main_4to0_K05_n020_chi2/params.rds",TRUE,TRUE,""
"raw/main_4to0_K05_n020_chi2/results_correct.rds",TRUE,TRUE,""
"raw/main_4to0_K05_n020_chi2/results_misspecified.rds",TRUE,TRUE,""
"raw/main_4to0_K05_n020_chi2/summary.csv",TRUE,TRUE,""
"summary/main_results_nsim2.csv",TRUE,TRUE,""
"summary/main_summary_nsim2.csv",TRUE,TRUE,""
